add-circle-line	ajout-cercle
add-line	ajout
archive-line	archive
article-line	article
book-2-line	livre
bookmark-line	signet
building-line	batiment
chat-3-line	discussion
check-line	coche
checkbox-circle-line	coche-cercle
clipboard-line	presse-papier
close-line	fermer
dashboard-line	tableau-bord
database-line	base-donnees
delete-line	supprimer
download-line	telecharger
draft-line	brouillon
earth-line	globe
edit-box-line	editer-bloc
edit-line	editer
external-link-line	lien-externe
eye-line	oeil
eye-off-line	oeil-barre
file-line	fichier
folder-2-line	dossier
hashtag	diese
image-line	image
layout-grid-line	grille
lightbulb-line	ampoule
line-chart-line	courbe
list-unordered	liste
lock-line	cadenas
map-pin-2-line	epingle
road-map-line	carte
save-line	enregistrer
shapes-line	formes
star-line	etoile
table-line	tableau
team-line	equipe
time-line	horloge
upload-line	televerser
window-line	fenetre
